expense_id,expense_type,amount,related_entity,date,receipt_available,cost_center,fiscal_period
ACC_ce970edb,loyer,47.95,,2025-10-06,True,magasin,2021-Q3
BADID,salaires,1117.31,MAG_43183eec,2020-01-04,True,extra,
ACC_b9b53b19,investissement,10.21,,2018-10-12,True,logistique,2021-Q2
ACC_05a28ccc,loyer,38.38,MAG_b62aec6b,2017-07-30,True,logistique,2018-Q2
BADID,inconnu,10.0,,2024-05-09,True,logistique,
ACC_052bea3e,autre,-130.1,,2017-04-25,True,logistique,2022-Q4
ACC_778a4443,investissement,10.0,ENT_c41fb963,2022-02-27,True,siège,2017-Q1
ACC_fba60807,investissement,420.19,MAG_b294b306,2020-09-17,True,magasin,2019-Q3
ACC_564659dc,autre,10.0,MAG_ee7512e9,2020-12-22,True,siège,2024-Q4
ACC_04e8fdba,loyer,15.58,ENT_a397c0fd,2016-02-03,True,siège,2017-Q1
ACC_b12399fc,logistique,100.49,,2025-12-06,True,magasin,2019-Q4
ACC_82181bc4,salaires,36.31,,2024-02-22,True,siège,2023-Q4
ACC_fca14e7a,loyer,10.0,,2018-12-14,True,logistique,2024-Q3
ACC_a8a91f74,autre,84.82,,2017-03-12,True,logistique,2017-Q3
ACC_629443f7,énergie,403.94,,2021-06-24,True,logistique,2019-Q1
ACC_d00be902,salaires,109.52,ENT_6c65f58d,2025-12-26,True,logistique,2022-Q3
ACC_b05a7efa,énergie,77.38,,2015-10-14,True,logistique,2017-Q3
ACC_a402a03a,loyer,292.63,,2022-07-12,True,siège,2018-Q3
ACC_384930ac,loyer,64.55,,2017-01-02,True,magasin,2022-Q2
ACC_e89b5332,salaires,71.95,,2022-03-11,True,entrepot,2021-Q1
ACC_acf4054b,salaires,212.47,ENT_32b6929b,2015-03-21,True,entrepot,2016-Q3
ACC_4a0dc567,loyer,10.0,MAG_d7c0498d,2020-02-28,True,siège,2018-Q4
ACC_4e82b08e,investissement,30.98,ENT_ee2abb34,2022-08-18,True,magasin,2022-Q1
ACC_ed0d7bfd,énergie,159.46,MAG_61f276d6,2024-08-25,True,entrepot,2019-Q4
ACC_d75efccf,investissement,270.2,MAG_8dc46f17,2024-08-06,True,magasin,2023-Q1
ACC_ec7b3af7,salaires,34.02,ENT_e88a4ab6,2024-11-22,True,siège,2017-Q3
ACC_f362d3e3,logistique,33.35,,2016-05-30,True,magasin,2024-Q4
ACC_f4885839,énergie,11.07,,2023-12-09,True,entrepot,2023-Q1
ACC_08aed800,salaires,183.88,MAG_92dcfc5d,2023-04-10,True,magasin,2021-Q1
ACC_82aa64c3,autre,20.78,,2025-04-20,True,entrepot,2017-Q2
