marketing_id,campaign_group_id,product_id,product_segment,promotion_type,discount_value,target_customer_type,promotion_date,duration_days,channel,budget,actual_cost
MKT_03769d23,CAMP_404e2990,PROD_e5f3253c,Produits grand public,produit_gratuit,-436.07,bronze,2024-10-11,8.0,email,1628.0,1189.21
MKT_45622f5a,CAMP_404e2990,PROD_fd077023,,remboursement_immediat,27.24,or,2018-05-31,3.0,email,6045.0,5604.75
MKT_555dbc30,CAMP_404e2990,PROD_09a63aeb,Produits grand public,produit_gratuit,53.19,platine,2024-03-21,18.0,email,500.0,500.18
MKT_e5c51a8e,CAMP_404e2990,PROD_c45630d4,Produits grand public,pourcentage_remise,10.99,platine,2025-01-12,9.0,email,15669.0,19210.86
MKT_94eb62f8,CAMP_404e2990,PROD_1541e780,,pourcentage_remise,8.0,or,2020-09-13,5.0,email,13327.0,16545.01
MKT_99bfc37f,CAMP_b57b1f47,PROD_53e903c5,Produits de niche,produit_gratuit,18.16,or,2018-01-29,22.0,email,14444.0,15806.9
MKT_09301bf1,CAMP_b57b1f47,PROD_de7db016,Produits grand public,pourcentage_remise,19.06,bronze,2016-03-06,4.0,TV,7076.0,6082.33
MKT_2433af26,CAMP_b57b1f47,PROD_6a423d4d,Produits grand public,produit_gratuit,280.38,argent,2023-11-06,13.0,SMS,16192.0,14094.36
MKT_e9cf94cd,CAMP_b57b1f47,PROD_70c8adc6,Produits grand public,pourcentage_remise,9.16,bronze,2021-07-13,13.0,email,14445.0,14160.16
MKT_4402b8b2,CAMP_d0741328,PROD_b545e9e6,Produits de niche,pourcentage_remise,16.06,or,2023-06-17,22.0,email,5654.0,4472.98
MKT_ef234f1b,CAMP_d0741328,BADID,Produits grand public,pourcentage_remise,24.13,argent,2024-01-28,27.0,email,25327.0,26041.73
MKT_4dac25f5,CAMP_d0741328,PROD_c520b909,Produits grand public,remboursement_immediat,19.96,platine,2022-05-22,9.0,email,10260.0,10412.57
MKT_f76a5e0d,CAMP_d0741328,PROD_0916a381,Produits grand public,,,argent,2022-01-27,15.0,email,11579.0,10464.25
MKT_1fd1f71d,CAMP_d0741328,PROD_469654f9,Produits de niche,remboursement_immediat,17.19,argent,2021-07-15,10.0,email,,
MKT_647ce14e,CAMP_d0741328,PROD_971d3eb0,Produits grand public,produit_gratuit,80.31,or,2025-08-02,16.0,,3949.0,3540.08
MKT_279468b8,CAMP_d0741328,PROD_065273d0,Produits grand public,pourcentage_remise,22.16,bronze,2023-02-15,15.0,email,9898.0,11621.3
MKT_18bd0efe,CAMP_c5193667,PROD_543941e7,Produits grand public,remboursement_immediat,39.18,,2025-03-14,,email,4520.0,4736.78
MKT_01545bf5,CAMP_c5193667,PROD_efaae5cf,,remboursement_immediat,3.06,or,2021-02-03,29.0,SMS,500.0,396.73
MKT_9f0f8e17,CAMP_c5193667,PROD_aaefb28d,Produits de niche,remboursement_immediat,32.02,argent,2022-12-29,29.0,email,14314.0,16612.32
MKT_c8cc27a1,CAMP_c5193667,PROD_UNKNOWN,Produits grand public,pourcentage_remise,12.32,platine,2016-03-10,13.0,SMS,500.0,463.91
MKT_b4443ebd,CAMP_c5193667,PROD_8f0df4a1,,produit_gratuit,9.51,bronze,2023-08-04,27.0,SMS,500.0,633.02
MKT_1cb940fb,CAMP_c5193667,PROD_cda0843f,Produits grand public,Narnia,6.2,inconnu,2020-04-27,16.0,email,16012.0,19205.1
BADID,CAMP_c5193667,PROD_05506e26,Produits de niche,extra,73.31,Narnia,2015-08-09,23.0,email,500.0,442.01
MKT_c1b2d2c2,CAMP_c5193667,PROD_a88f3620,Produits grand public,produit_gratuit,6.76,or,2023-03-02,25.0,email,5167.0,6484.21
MKT_150f5761,CAMP_0863c91c,PROD_69b16fac,Produits de niche,pourcentage_remise,11.25,,2015-03-29,4.0,SMS,12074.0,9102.13
MKT_4313fea4,CAMP_0863c91c,PROD_5463c06a,,pourcentage_remise,5.05,platine,2018-09-01,20.0,SMS,14039.0,12921.3
MKT_68c7149e,CAMP_0863c91c,PROD_2a08e6d4,Produits grand public,pourcentage_remise,12.83,argent,2020-09-24,27.0,email,14086.0,10000.81
MKT_c2eac913,CAMP_0863c91c,PROD_c6c871b9,,pourcentage_remise,10.56,argent,2015-08-16,,SMS,15414.0,11655.26
MKT_579fce27,CAMP_0863c91c,PROD_fd077023,Produits grand public,,,or,2019-01-29,,,1496.0,1706.45
MKT_54c9884d,CAMP_0863c91c,PROD_UNKNOWN,Produits grand public,remboursement_immediat,12.66,argent,2021-06-11,25.0,email,14064.0,10170.98
MKT_002bc958,CAMP_0863c91c,PROD_c2402c8c,Produits grand public,pourcentage_remise,21.74,bronze,2022-02-27,3.0,TV,6215.0,7664.4
MKT_7396a43e,CAMP_0863c91c,PROD_7e1c5a57,Produits grand public,pourcentage_remise,7.7,platine,2016-06-04,20.0,email,500.0,579.16
MKT_ff59372a,CAMP_ba1f8f47,PROD_33eac6db,,,,argent,2020-12-18,22.0,SMS,23138.0,19726.64
MKT_9b511bf0,CAMP_ba1f8f47,PROD_UNKNOWN,Produits de niche,extra,5.56,bronze,2017-01-24,22.0,SMS,,
MKT_eb8ff626,CAMP_ba1f8f47,PROD_fa55ddd4,Produits de niche,produit_gratuit,61.93,,2017-02-02,8.0,SMS,10006.0,8268.48
MKT_de7681e7,CAMP_ba1f8f47,PROD_UNKNOWN,Produits de niche,pourcentage_remise,27.37,argent,2016-04-11,28.0,email,3551.0,2883.23
MKT_1e004164,CAMP_ba1f8f47,PROD_bcd28638,Produits grand public,pourcentage_remise,17.09,or,2018-12-23,28.0,email,14191.0,14570.36
MKT_ee47a7d9,CAMP_ba1f8f47,PROD_UNKNOWN,Produits grand public,Narnia,-232.97,platine,2015-06-15,10.0,email,6658.0,5699.61
MKT_b0515d8a,CAMP_3cbea4c0,PROD_27434432,Produits de niche,pourcentage_remise,7.16,or,2017-06-11,21.0,email,3902.0,4412.94
MKT_042a0ce7,CAMP_3cbea4c0,PROD_50b599f1,Produits grand public,remboursement_immediat,24.55,argent,2019-04-21,28.0,SMS,30164.0,22220.5
MKT_df333585,CAMP_3cbea4c0,PROD_469654f9,Produits grand public,produit_gratuit,4.05,platine,2021-07-11,26.0,email,500.0,417.08
MKT_bcf73a1c,CAMP_3cbea4c0,PROD_0c7d3706,Produits grand public,remboursement_immediat,21.89,bronze,2024-08-07,20.0,email,5761.0,6932.43
MKT_887db2a6,CAMP_3cbea4c0,PROD_1f713cbf,Produits de niche,pourcentage_remise,7.15,,2020-12-23,10.0,SMS,11533.0,9029.55
MKT_f49fa645,CAMP_8ed1e15e,PROD_52c22b6a,Produits de niche,extra,-5.68,inconnu,2024-07-12,26.0,email,500.0,604.78
MKT_c6e09cbe,CAMP_8ed1e15e,PROD_UNKNOWN,,Narnia,15.31,or,2015-05-01,20.0,SMS,3934.0,3338.34
MKT_64370d79,CAMP_8ed1e15e,PROD_f8d13d7c,Produits grand public,remboursement_immediat,44.06,platine,2019-07-04,15.0,SMS,11918.0,14014.43
MKT_438a286f,CAMP_8ed1e15e,PROD_c56bc9df,Produits grand public,pourcentage_remise,23.01,bronze,2016-10-25,9.0,TV,500.0,626.91
BADID,CAMP_8ed1e15e,PROD_UNKNOWN,Produits grand public,pourcentage_remise,23.14,Narnia,2020-10-15,20.0,email,21794.0,22355.43
MKT_02966591,CAMP_8ed1e15e,PROD_949b9899,Produits de niche,produit_gratuit,-147.16,,2021-03-16,27.0,SMS,11438.0,14395.33
MKT_79d9c3f9,CAMP_8ed1e15e,PROD_543941e7,Produits de niche,pourcentage_remise,23.3,bronze,2024-03-29,19.0,email,11146.0,8999.81
MKT_22004cab,CAMP_e7b94ff2,PROD_2e4fc2b1,Produits grand public,pourcentage_remise,17.44,platine,2015-11-04,4.0,email,9774.0,11703.54
MKT_80edcea5,CAMP_e7b94ff2,PROD_989751da,Produits de niche,pourcentage_remise,23.86,platine,2015-04-20,15.0,SMS,5234.0,4484.06
