product_id,product_name,category,sub_category,is_fragile,volume_l,weight_kg,selling_price,purchase_cost,margin_rate,storage_cost,launch_date,expiry_date,is_new_product,supplier_id,manufacturing_origin,co2_per_kg,calculated_margin_rate,product_margin_eur,product_lifecycle_days,invalid_price_flag,high_co2_flag
PROD_6b581aad,La liberté d'évoluer autrement,Vêtements,Femme,False,0.35,0.29,5.0,2.63,0.4733,0.26,2024-07-25,2030-12-31,False,SUPP_2b499253,Espagne,0.66,0.47400000000000003,2.37,2350.0,0,0
PROD_61cd8f26,L'avantage d'évoluer plus rapidement,Électronique,TV & Audio,True,0.85,0.62,69.24,52.76,0.238,3.48,2020-11-23,2025-09-26,False,SUPP_7c3aa2fa,Turquie,3.56,0.23801270941652222,16.479999999999997,1768.0,0,0
PROD_6a4fe51b,L'avantage de changer avant-tout,Vêtements,Enfant,False,2.49,0.8,78.22,39.2,0.4989,2.29,2019-10-07,2029-06-27,False,SUPP_171b3f09,Inde,5.0,0.49884939913065707,39.019999999999996,3551.0,0,0
PROD_c3c591a2,L'art d'avancer à sa source,Alimentation,Surgelés,False,0.31,1.7,4.33,3.74,0.1364,3.2,2025-10-15,2027-01-17,True,SUPP_fc43d434,Allemagne,5.74,0.1362586605080831,0.5899999999999999,459.0,0,0
PROD_b7400fa0,Le droit de louer plus facilement,Hygiène,Soins cheveux,False,5.89,1.36,9.71,4.86,0.4993,0.53,2015-06-07,2016-09-08,False,SUPP_7df83051,Italie,6.39,0.49948506694129763,4.8500000000000005,459.0,0,1
PROD_8944836a,L'art de concrétiser vos projets plus rapidement,Vêtements,Enfant,False,1.12,1.27,21.62,11.82,0.4535,0.63,2024-08-07,2028-02-25,False,SUPP_73e3df9b,Allemagne,2.26,0.4532839962997225,9.8,1297.0,0,0
PROD_528b5fac,Le droit de louer à la pointe,Électronique,TV & Audio,False,1.92,1.19,7.47,3.38,0.5479,4.37,2016-09-03,2018-04-29,False,SUPP_d1480191,Espagne,0.67,0.5475234270414994,4.09,603.0,0,0
PROD_75a5f6f0,L'avantage de rouler avant-tout,Hygiène,Soins corps,False,0.89,1.1,19.4,10.91,0.4378,0.35,2022-12-16,2025-12-14,False,SUPP_UNKNOWN,Espagne,7.68,0.4376288659793814,8.489999999999998,1094.0,0,1
PROD_5d029671,La possibilité d'avancer à sa source,Électronique,TV & Audio,True,1.11,11.77,49.2,27.82,0.4345,2.56,2024-06-18,2026-09-22,False,SUPP_9e398929,Portugal,1.29,0.4345528455284553,21.380000000000003,826.0,0,0
PROD_4cf85b65,Le confort d'innover à sa source,Alimentation,Fruits & Légumes,False,2.97,1.68,15.45,13.39,0.1335,1.87,2015-12-12,2021-11-30,False,SUPP_dc161057,Italie,4.62,0.13333333333333325,2.0599999999999987,2180.0,0,0
PROD_8cd4b9c7,La liberté de concrétiser vos projets en toute tranquilité,Alimentation,Boissons,True,0.27,0.34,7.63,6.17,0.1908,1.86,2022-04-20,2024-07-19,False,SUPP_c0a64e2b,Italie,4.6,0.1913499344692005,1.46,821.0,0,0
PROD_175b95f4,Le pouvoir d'évoluer à l'état pur,Électronique,Ordinateurs,True,1.49,4.6,124.4,91.98,0.2606,2.24,2017-03-21,2018-07-15,False,SUPP_d930d00f,Espagne,2.84,0.26061093247588424,32.42,481.0,0,0
PROD_96746f2c,L'assurance de concrétiser vos projets de manière efficace,Hygiène,Soins corps,False,0.84,0.22,5.33,3.56,0.3322,3.59,2023-03-27,2030-12-31,False,SUPP_ac0a0f63,Inde,2.35,0.3320825515947467,1.77,2836.0,0,0
PROD_2e4fc2b1,,Vêtements,Homme,False,5.6,0.4,18.83,11.41,0.3938,1.56,2021-05-23,2026-05-06,False,SUPP_UNKNOWN,États-Unis,3.48,0.39405204460966536,7.419999999999998,1809.0,0,0
PROD_6f435020,Le plaisir de louer à la pointe,Électronique,TV & Audio,True,3.09,6.09,9.98,4.87,0.5119,0.41,2024-09-18,2030-12-06,False,SUPP_9587da5a,États-Unis,3.2,0.5120240480961924,5.11,2270.0,0,0
PROD_96afc512,Le confort d'innover de manière sûre,Électronique,TV & Audio,False,4.31,2.92,276.02,156.94,0.4314,2.63,2023-01-24,2023-09-30,False,SUPP_31dc8c41,Allemagne,4.5,0.43141801318745016,119.07999999999998,249.0,0,0
PROD_c520b909,Le confort de louer naturellement,Vêtements,Enfant,False,0.48,0.58,15.19,11.95,0.213,0.59,2025-12-04,2029-09-03,True,SUPP_6f568ae9,France,0.93,0.2132982225148124,3.24,1369.0,0,0
PROD_1f713cbf,Le confort d'innover à la pointe,Électronique,Smartphones,False,0.65,3.01,41.82,24.36,0.4176,0.1,2018-12-21,2028-12-06,False,SUPP_56259829,Inde,1.69,0.4175035868005739,17.46,3638.0,0,0
PROD_7b27b665,La liberté de concrétiser vos projets plus rapidement,Hygiène,Soins cheveux,False,1.12,5.6,12.72,7.34,0.4233,0.35,2019-10-13,2024-07-19,False,SUPP_44df4bce,Chine,4.7,0.4229559748427673,5.380000000000001,1741.0,0,0
PROD_b177fa5b,L'avantage de louer plus facilement,Électronique,Ordinateurs,True,1.55,0.16,181.38,113.67,0.3733,1.48,2024-09-11,2026-01-20,False,SUPP_8ef727a2,États-Unis,2.31,0.37330466424082037,67.71,496.0,0,0
PROD_633a13c8,La liberté de concrétiser vos projets en toute tranquilité,extra,TV & Audio,True,0.57,5.42,186.24,136.83,0.2653,2.08,2015-05-28,2021-12-28,False,SUPP_57321527,France,1.58,0.26530283505154634,49.41,2406.0,0,0
PROD_8f0df4a1,L'art de changer à sa source,Hygiène,Hygiène bucco-dentaire,False,0.46,8.73,9.51,6.35,0.3327,0.21,2016-11-19,2024-04-11,False,SUPP_UNKNOWN,Chine,2.52,0.3322818086225027,3.16,2700.0,0,0
PROD_16d5208c,Le confort de louer de manière efficace,Hygiène,Cosmétiques,False,0.2,1.12,28.43,14.95,0.4742,2.72,2021-12-26,2023-07-21,False,SUPP_baaf7408,Chine,7.81,0.47414702778754836,13.48,572.0,0,1
PROD_0655782a,Le droit d'atteindre vos buts sans soucis,Maison,Mobilier,False,2.13,0.45,103.0,62.61,0.3921,2.06,2024-11-16,2027-03-20,False,SUPP_6b9b3ff9,Italie,3.59,0.3921359223300971,40.39,854.0,0,0
PROD_924a6879,La possibilité de concrétiser vos projets plus facilement,Maison,Mobilier,True,1.11,12.72,8.78,4.8,0.4534,2.2,2015-05-27,2016-07-21,False,SUPP_c37432c9,États-Unis,3.91,0.4533029612756264,3.9799999999999995,421.0,0,0
PROD_1999625e,L'assurance de rouler sans soucis,Maison,Jardin,True,1.13,8.3,108.25,74.62,0.3107,3.68,2022-03-07,2027-04-21,False,BADID,Chine,3.6,0.3106697459584295,33.629999999999995,1871.0,0,0
PROD_4aac8a0c,L'avantage d'avancer avant-tout,Vêtements,Sport,False,0.92,0.18,61.25,38.12,0.3776,2.79,2024-04-21,2030-12-31,False,SUPP_16cd8392,Allemagne,5.92,0.3776326530612245,23.130000000000003,2445.0,0,1
PROD_4b9367a4,Le plaisir de changer sans soucis,Maison,Cuisine,False,0.73,6.78,14.17,6.89,0.5135,4.73,2015-02-27,2023-03-15,False,SUPP_dde7a4c4,Chine,4.8,0.5137614678899083,7.28,2938.0,0,0
PROD_260cedc4,La possibilité de concrétiser vos projets plus rapidement,Électronique,Accessoires,False,2.56,3.93,64.28,48.61,0.2438,0.89,2024-12-09,2030-12-31,False,SUPP_205e9bf3,Turquie,7.58,0.24377722464219043,15.670000000000002,2213.0,0,1
PROD_a88f3620,L'art d'avancer de manière efficace,Alimentation,Boissons,False,0.51,4.27,6.76,5.69,0.1586,4.53,2015-09-20,2023-01-27,False,SUPP_54aa25ce,France,3.19,0.15828402366863897,1.0699999999999994,2686.0,0,0
PROD_e0e09328,L'art de concrétiser vos projets à la pointe,Électronique,Accessoires,True,4.19,24.02,73.03,44.7,0.3879,3.06,2015-12-18,2025-01-10,False,SUPP_921700ce,France,2.36,0.38792277146378196,28.33,3311.0,0,0
PROD_fa55ddd4,La liberté de changer autrement,Vêtements,Enfant,False,2.7,5.23,61.93,33.34,0.4617,0.1,2023-12-03,2026-03-06,False,SUPP_56b9757a,Espagne,0.11,0.46165025028257706,28.589999999999996,824.0,0,0
PROD_1712e1b1,Le droit de louer avant-tout,Alimentation,Produits laitiers,True,10.33,0.43,18.81,16.81,0.1064,0.55,2024-04-08,2030-12-31,False,SUPP_98d5a10a,Allemagne,4.36,0.10632642211589581,2.0,2458.0,0,0
PROD_630fb6d9,L'avantage d'évoluer à l'état pur,Vêtements,Enfant,False,7.8,2.95,44.05,30.22,0.3139,0.1,2019-01-29,2027-04-02,False,SUPP_b284e63e,France,2.14,0.31396140749148693,13.829999999999998,2985.0,0,0
