price_id,product_id,start_date,end_date,selling_price,purchase_cost,margin
PRC_ab67e6f1,BADID,2015-02-25,2016-12-23,178.69,109.06,0.38966925961161786
PRC_82d25d7a,BADID,2015-05-28,2017-01-07,186.24,133.87,0.2811963058419244
PRC_7c683d17,BADID,2016-01-06,2016-09-19,86.38,48.77,0.4354017133595739
PRC_fb154707,BADID,2016-03-29,2018-03-05,28.99,21.28,0.26595377716453944
PRC_f04286bd,BADID,2016-03-30,2017-10-27,3.6,2.22,0.3833333333333333
PRC_a7571653,BADID,2016-09-03,2018-07-19,7.47,5.58,0.25301204819277107
PRC_d0adc193,BADID,2017-08-24,2019-06-25,5.37,2.96,0.44878957169459965
PRC_f74df278,BADID,2018-03-06,2018-12-22,27.01,19.87,0.26434653831914107
PRC_eee989f3,BADID,2018-06-24,2019-11-12,9.74,5.81,0.4034907597535935
PRC_5e652e83,BADID,2018-07-09,,48.21,30.68,0.36361750674133997
PRC_695a21fe,BADID,2018-07-11,2020-07-26,16.7,11.82,0.2922155688622754
PRC_99140b6f,BADID,2018-09-20,2021-01-01,1.53,0.86,0.43790849673202614
PRC_adf8a05b,BADID,2018-12-23,,29.69,16.52,0.4435836982148872
PRC_fbfb8387,BADID,2019-01-21,,2.53,1.66,0.3438735177865612
PRC_003ad396,BADID,2019-02-04,,0.01,0.01,0.0
PRC_3e64d830,BADID,2019-10-30,2020-07-01,8.97,5.57,0.379041248606466
PRC_d9bd4592,BADID,2020-01-18,,4.91,3.08,0.3727087576374745
PRC_005d5e9a,BADID,2020-07-31,2022-12-15,46.78,26.77,0.42774690038477986
PRC_f4561801,BADID,2020-08-16,,39.79,28.23,0.29052525760241266
PRC_3d8481eb,BADID,2020-10-29,,17.26,11.38,0.3406720741599073
PRC_716c2f8a,BADID,2021-01-02,2021-10-11,1.44,0.93,0.35416666666666663
PRC_5636b400,BADID,2021-05-27,2023-07-26,137.47,77.94,0.43303993598603335
PRC_d3f465a9,BADID,2021-05-28,2022-11-28,19.74,11.07,0.43920972644376893
BADID,BADID,2021-08-20,,0.01,0.01,0.0
PRC_d422c98e,BADID,2021-09-17,2022-11-05,705.87,521.24,0.26156374403218724
PRC_6a5fb663,BADID,2021-10-12,,1.26,0.84,0.33333333333333337
PRC_d7e27fd0,BADID,2021-10-14,2024-08-23,5.57,3.43,0.38420107719928187
PRC_d0e17149,BADID,2022-01-03,,4.02,2.36,0.41293532338308453
PRC_a5eaa5e0,BADID,2022-01-17,,3.61,2.25,0.3767313019390581
PRC_a33e4069,BADID,2022-02-10,2024-02-03,10.69,6.77,0.36669784845650144
PRC_0dc2e40a,BADID,2022-04-09,2023-05-29,5.08,3.24,0.3622047244094488
PRC_75a2d206,BADID,2022-09-24,,22.1,16.1,0.27149321266968324
PRC_fb2fea99,BADID,2023-06-24,2024-12-10,43.19,25.0,0.4211623060893725
PRC_58c41d24,BADID,2023-07-21,,10.43,5.89,0.43528283796740175
PRC_e954b4a3,BADID,2023-07-27,2025-04-12,159.93,95.95,0.4000500218845745
PRC_ae1f3ae0,BADID,2023-08-13,,170.93,113.2,0.3377405955654362
PRC_f252981b,BADID,2023-08-30,2025-12-30,18.39,11.93,0.35127786840674285
PRC_44782684,BADID,2023-12-08,,88.56,50.79,0.42649051490514905
BADID,BADID,2024-01-13,2024-08-22,27.46,19.61,0.2858703568827386
PRC_33fcc27d,BADID,2024-02-04,,9.44,5.59,0.4078389830508474
PRC_728b9be5,BADID,2024-04-10,,0.01,0.01,0.0
PRC_5a5bc332,BADID,2024-06-11,,13.24,8.07,0.3904833836858006
PRC_a40bc766,BADID,2024-06-19,,37.09,21.75,0.4135885683472635
PRC_db296442,BADID,2024-08-23,,31.44,19.88,0.3676844783715013
PRC_0ddfd3aa,BADID,2024-08-24,,4.57,3.39,0.2582056892778994
PRC_cb25b26e,BADID,2024-08-24,,79.04,56.76,0.2818825910931175
PRC_5eebaed3,BADID,2024-08-25,2025-11-18,18.73,10.92,0.41697810998398294
PRC_01bbefde,BADID,2024-10-02,,15.55,10.16,0.34662379421221867
PRC_5024a3d8,BADID,2024-12-11,,35.92,24.97,0.30484409799554574
PRC_3dc75c0a,BADID,2025-03-28,,87.17,65.2,0.2520362510037857
PRC_6385476a,BADID,2025-04-13,,172.7,109.01,0.36878980891719737
PRC_a0b7f837,BADID,2025-04-27,,8.19,4.54,0.44566544566544564
PRC_f8c74284,BADID,2025-10-06,,15.7,10.64,0.3222929936305732
PRC_d60af458,BADID,2025-11-19,,16.5,10.08,0.3890909090909091
PRC_065b2e84,PROD_002cca06,2019-04-06,2020-03-30,16.38,10.68,0.34798534798534797
PRC_d0598522,PROD_002cca06,2020-03-31,,13.53,8.72,0.35550628233555054
PRC_772591ac,PROD_005fead9,2023-10-10,,104.56,73.55,0.29657612853863813
PRC_43ea144a,PROD_0098d33a,2022-01-15,2023-12-20,16.01,9.06,0.4341036851967521
PRC_887b5735,PROD_0098d33a,2023-12-21,,13.88,8.13,0.4142651296829971
PRC_43b77302,PROD_0098d33a,2025-11-22,,13.29,9.83,0.2603461249059443
PRC_19f687e9,PROD_01447dd1,2021-09-18,2023-05-19,101.76,75.67,0.2563875786163522
PRC_e33cef78,PROD_01447dd1,2022-04-11,2025-03-15,5.95,4.06,0.3176470588235295
PRC_02196377,PROD_01447dd1,2023-05-20,,88.7,58.91,0.33585118376550177
PRC_111230de,PROD_016e9310,2023-03-26,,8.26,5.36,0.3510895883777239
