marketing_id,campaign_group_id,product_id,product_segment,promotion_type,discount_value,target_customer_type,promotion_date,duration_days,channel,budget,actual_cost,campaign_start_date,campaign_end_date,campaign_duration_weeks,discount_bucket,budget_variance,budget_variance_pct,over_budget_flag
MKT_03769d23,CAMP_404e2990,PROD_e5f3253c,Produits grand public,produit_gratuit,17.775,bronze,2024-10-11,8.0,email,1628.0,1189.21,2024-10-11,2024-10-19,1.1428571428571428,11-20,-438.78999999999996,-0.269527027027027,0
MKT_45622f5a,CAMP_404e2990,PROD_fd077023,unknown,remboursement_immediat,27.24,or,2018-05-31,3.0,email,6045.0,5604.75,2018-05-31,2018-06-03,0.42857142857142855,21-40,-440.25,-0.0728287841191067,0
MKT_555dbc30,CAMP_404e2990,PROD_09a63aeb,Produits grand public,produit_gratuit,53.19,platine,2024-03-21,18.0,email,500.0,500.18,2024-03-21,2024-04-08,2.5714285714285716,40+,0.18000000000000682,0.00036000000000001363,1
MKT_e5c51a8e,CAMP_404e2990,PROD_c45630d4,Produits grand public,pourcentage_remise,10.99,platine,2025-01-12,9.0,email,15669.0,19210.86,2025-01-12,2025-01-21,1.2857142857142858,11-20,3541.8600000000006,0.22604250430786907,1
MKT_94eb62f8,CAMP_404e2990,PROD_1541e780,unknown,pourcentage_remise,8.0,or,2020-09-13,5.0,email,13327.0,16545.01,2020-09-13,2020-09-18,0.7142857142857143,1-10,3218.0099999999984,0.24146544608689116,1
MKT_99bfc37f,CAMP_b57b1f47,PROD_53e903c5,Produits de niche,produit_gratuit,18.16,or,2018-01-29,22.0,email,14444.0,15806.9,2018-01-29,2018-02-20,3.142857142857143,11-20,1362.8999999999996,0.09435751869288284,1
MKT_09301bf1,CAMP_b57b1f47,PROD_de7db016,Produits grand public,pourcentage_remise,19.06,bronze,2016-03-06,4.0,TV,7076.0,6082.33,2016-03-06,2016-03-10,0.5714285714285714,11-20,-993.6700000000001,-0.140428208027134,0
MKT_2433af26,CAMP_b57b1f47,PROD_6a423d4d,Produits grand public,produit_gratuit,280.38,argent,2023-11-06,13.0,SMS,16192.0,14094.36,2023-11-06,2023-11-19,1.8571428571428572,40+,-2097.6399999999994,-0.12954792490118575,0
MKT_e9cf94cd,CAMP_b57b1f47,PROD_70c8adc6,Produits grand public,pourcentage_remise,9.16,bronze,2021-07-13,13.0,email,14445.0,14160.16,2021-07-13,2021-07-26,1.8571428571428572,1-10,-284.84000000000015,-0.019718933887158195,0
MKT_4402b8b2,CAMP_d0741328,PROD_b545e9e6,Produits de niche,pourcentage_remise,16.06,or,2023-06-17,22.0,email,5654.0,4472.98,2023-06-17,2023-07-09,3.142857142857143,11-20,-1181.0200000000004,-0.20888220728687662,0
